token,score
jesus,2908.464
christ,1690.347
lord,851.288
disciples,706.821
things,625.990
nt,539.668
paul,507.351
peter,507.351
israel,458.499
shall,457.777
john,373.197
people,363.424
spirit,347.865
having,346.355
king,344.168
land,309.864
gospel,287.402
grace,284.784
world,272.854
ot,264.096
pharisees,256.654
church,242.364
immediately,234.142
assuredly,230.745
jews,229.072
simon,224.506
faith,217.933
apostles,195.945
sons,181.748
galilee,177.638
judah,169.210
pilate,167.400
hour,158.951
teacher,156.758
judea,151.270
preached,151.170
heaven,149.566
scribes,143.527
body,143.400
brethren,142.756
baptized,142.435
love,139.181
multitudes,138.980
synagogue,138.870
gentiles,137.397
answered,125.903
james,124.610
herod,121.046
dead,116.458
david,114.996
boat,111.783
philip,110.355
worthy,107.421
teaching,104.771
muhammad,104.751
fellow,103.942
crucified,103.488
demon,103.228
ought,102.750
moses,102.370
churches,101.421
marveled,101.421
demons,101.270
received,99.189
egypt,98.606
crowd,97.865
barnabas,96.103
nazareth,96.103
kingdom,94.923
saints,94.482
children,93.169
eternal,91.992
offering,91.748
sat,90.590
house,90.199
saw,89.536
angel,89.292
works,89.211
judas,88.978
certainly,88.450
doctrine,88.196
beloved,87.444
believers,84.485
says,82.436
likewise,81.967
conscience,81.854
believed,79.573
said,78.355
disciple,78.293
written,77.741
amen,76.621
day,76.428
aaron,75.735
greet,75.427
bring,75.338
caesar,74.732
pharaoh,74.470
heard,74.118
circumcision,72.989
council,72.989
devil,72.267
spirits,72.158
certain,71.900
mystery,71.171
timothy,71.171
spiritual,68.151
cause,67.692
lusts,67.610
surely,66.923
hosts,66.895
began,66.730
justified,66.054
mind,65.999
heavens,65.995
baptism,65.891
synagogues,65.891
coming,65.649
believes,65.610
scripture,65.610
named,65.045
torment,64.625
apostle,64.049
asia,64.049
centurion,64.049
members,63.722
begged,62.344
hand,61.606
return,60.502
macedonia,60.489
ministry,59.278
tribulation,58.799
flesh,58.791
burnt,57.085
caesarea,56.929
healed,56.686
saying,56.533
entered,56.045
loud,54.933
cities,54.794
make,54.565
army,54.348
messenger,53.834
philistines,53.764
antioch,53.369
capernaum,53.369
sexual,53.369
scriptures,53.326
ship,52.557
glory,52.293
glorified,52.024
law,51.978
greeks,51.715
believe,51.519
quran,50.918
ones,50.914
anger,49.873
mary,49.868
ephesus,49.810
godliness,49.810
greek,49.810
levites,49.510
abides,49.441
fulfilled,49.363
joshua,48.657
guidance,48.642
help,48.629
multitude,48.611
messengers,48.460
solomon,48.428
amazed,48.177
called,47.885
earth,47.514
like,46.536
gold,46.532
baptist,46.250
boasting,46.250
rabbi,46.250
sadducees,46.250
daughters,46.137
year,45.678
jacob,45.479
authority,44.795
gift,44.787
collectors,44.642
fellowship,44.642
gods,44.164
parable,44.007
babylon,43.825
ark,43.663
immorality,43.628
father,43.562
beginning,43.072
elect,43.022
sailed,43.022
book,42.757
nations,42.719
dragon,42.691
festus,42.691
lazarus,42.691
magdalene,42.691
martha,42.691
partakers,42.691
contrary,42.671
revelations,42.491
saul,42.377
tomb,42.331
resurrection,42.301
sword,42.198
servants,41.673
wicked,41.557
iniquity,41.384
receive,41.196
unbelievers,40.804
princes,40.686
boast,40.507
heavenly,40.054
offerings,40.004
working,39.710
region,39.705
obtained,39.462
need,39.376
opened,39.217
achaia,39.132
agrippa,39.132
andrew,39.132
hades,39.132
rooster,39.132
supper,39.132
titus,39.132
families,39.002
altar,38.952
mountains,38.592
battle,38.006
inhabitants,37.832
manifested,37.583
nature,37.583
powers,37.583
fathers,37.139
write,37.120
chief,36.775
moab,36.713
putting,36.693
teachers,36.693
silver,36.616
month,36.354
risen,36.326
ephraim,36.168
place,36.158
turn,36.141
persuaded,36.092
deeds,36.009
angels,35.776
tabernacle,35.614
apollos,35.574
cornelius,35.574
edification,35.574
epistle,35.574
iscariot,35.574
lake,35.574
loses,35.574
pharisee,35.574
reasoned,35.574
silas,35.574
thomas,35.574
unbelief,35.574
grain,35.506
fell,35.255
tongues,34.971
followed,34.957
meeting,34.728
standing,34.556
statutes,34.445
created,34.418
enemies,34.382
soldiers,34.231
faithful,34.116
betrayed,34.062
exhort,34.062
wedding,34.062
jew,33.960
receives,33.960
soul,33.753
war,33.593
savior,33.514
asked,33.329
set,33.082
valley,33.052
prisoner,32.863
joab,32.744
