token,score
muhammad,1667.179
god,1577.600
certainly,1511.328
believers,1432.674
torment,1244.768
quran,810.390
unbelievers,787.907
revelations,734.200
guidance,730.740
messenger,710.514
deeds,663.177
unjust,648.771
hell,579.330
created,534.953
evidence,529.185
disbelievers,494.092
heavens,464.960
reward,452.817
judgment,451.575
people,440.336
shall,438.300
israel,425.013
ones,423.793
revealed,409.638
suffer,397.187
wants,384.284
favors,384.080
ask,375.467
king,371.466
forgiving,370.227
truth,367.817
book,362.637
human,356.128
worship,352.984
true,345.210
merciful,339.130
knows,334.663
replied,330.100
majestic,328.551
pious,327.497
equal,320.053
paradise,317.824
messengers,316.874
man,315.303
righteously,309.510
disbelief,300.520
pagans,296.025
guide,291.278
worldly,280.659
guardian,278.971
jinn,278.047
sustenance,272.978
believe,272.477
fact,260.401
existence,260.074
rejected,257.651
path,257.524
aware,252.365
forgiveness,247.159
want,245.938
painful,244.817
best,242.734
beneficent,242.106
mankind,241.153
went,240.564
house,238.844
religion,235.886
striving,234.787
son,228.847
benefit,228.200
knowing,228.075
tell,224.028
terrible,222.843
news,217.558
astray,217.476
sky,210.946
faith,210.781
ot,209.849
follow,208.350
hand,204.965
belief,204.335
wanted,202.584
injustice,197.733
miracles,196.765
universe,192.718
men,192.141
cause,185.194
try,184.070
belongs,183.799
think,183.761
gardens,183.308
came,182.386
punishment,182.380
happiness,181.908
help,181.507
life,180.595
hearts,178.765
recompense,174.921
told,172.771
satan,167.541
sons,166.963
patience,166.057
unseen,165.795
said,164.698
group,164.648
lord,163.027
says,162.773
dwellers,159.493
whomever,155.631
clear,154.290
receive,152.770
judah,152.615
granted,151.632
david,150.556
jerusalem,149.423
doers,149.058
hardship,149.058
considered,148.105
say,148.028
angels,147.835
virtuous,146.050
town,145.641
sufficient,144.908
respite,138.882
falsehood,138.302
property,138.302
steadfast,137.370
knowledge,136.952
saying,135.530
disbelieve,134.397
protect,132.613
believing,132.097
sinful,132.027
jesus,130.105
story,129.247
revelation,128.718
warn,127.778
followers,125.656
retribution,125.429
worshipped,125.429
consider,124.200
according,123.116
virtue,121.222
beings,120.945
lived,120.520
permission,119.294
result,119.183
city,119.096
share,118.814
took,117.075
ignore,116.462
relations,116.462
piety,114.707
unlawful,114.707
streams,113.487
forgive,113.423
behold,113.055
homes,112.365
reply,112.365
heart,112.110
bounties,111.979
exercise,110.847
religious,110.233
truthful,110.233
deny,109.538
grant,108.541
muslims,107.496
responsible,107.496
father,107.259
christ,106.207
prevent,105.760
day,105.490
public,104.465
warning,102.869
children,102.565
promise,100.270
single,100.017
idols,99.884
egypt,99.802
error,99.615
prostrate,99.110
spoke,98.905
attractive,98.532
illustrious,98.532
thamud,98.532
fear,98.313
lost,98.106
noah,97.025
differences,96.816
pay,96.570
experience,95.573
groups,95.573
days,94.873
criminals,94.701
worshipping,94.050
doubt,93.860
submitted,92.346
spend,92.336
land,91.200
recall,91.132
started,91.132
person,90.626
fruits,89.629
admit,89.569
disregard,89.569
guided,89.479
earth,89.193
flow,87.969
recite,87.878
supreme,87.878
better,87.781
creation,87.560
offering,86.946
heaven,86.788
word,86.427
priest,85.983
reminder,85.902
mere,85.520
create,85.259
ad,85.087
mosque,85.087
torah,85.087
repentance,84.319
prayers,84.099
genuine,83.411
grants,83.411
invented,83.411
realize,83.411
reject,82.317
holy,81.632
voice,81.556
magic,81.513
subservient,80.606
wealth,80.165
heard,78.813
answered,78.151
asked,77.955
souls,77.536
rewards,77.132
mercy,77.090
deserves,76.747
liars,76.747
suffering,76.673
argue,76.126
authoritative,76.126
humiliating,76.126
inevitable,76.126
resurrected,76.126
saw,76.086
act,75.989
evil,75.975
sword,74.774
preference,73.410
hypocrites,72.760
wronged,72.746
deserve,72.430
receiving,72.430
ancient,72.407
glorify,72.385
miracle,72.350
mouth,71.732
islam,71.645
lesson,71.645
mecca,71.645
verses,71.645
victory,71.027
reveal,70.299
set,70.054
decree,69.315
wrong,69.254
different,68.838
guides,68.284
easy,68.127
severe,68.003
brethren,67.705
admitted,67.165
mim,67.165
ungrateful,67.165
priests,67.075
saul,66.945
expel,65.563
recited,65.563
spirit,65.108
prayer,64.292
message,64.178
proper,64.122
claim,64.047
decreed,63.841
cities,63.604
glad,62.959
achieve,62.686
angelic,62.686
pairs,62.686
warner,62.686
temple,62.520
altar,62.463
law,61.385
bread,61.382
replace,61.108
questioned,60.181
accept,60.131
instead,60.029
surely,59.990
work,59.765
gains,59.682
orphans,59.572
harm,58.468
alif,58.206
barrier,58.206
bible,58.206
consequences,58.206
dislike,58.206
disobey,58.206
hostility,58.206
ignored,58.206
lam,58.206
mislead,58.206
muslim,58.206
salih,58.206
spouses,58.206
affairs,57.744
maintain,57.744
support,57.570
wilderness,57.232
nations,56.788
praiseworthy,56.656
threatened,56.656
whichever,56.656
midst,56.608
books,56.389
servant,55.918
kings,55.806
desires,55.595
disgrace,55.389
private,55.389
drowned,55.323
unaware,55.323
hosts,55.188
thousand,54.965
gold,54.298
head,54.104
israelites,53.894
control,53.846
absolute,53.727
ayb,53.727
forbearing,53.727
hardships,53.727
indecency,53.727
prostration,53.727
shu,53.727
truthfulness,53.727
tabernacle,53.145
able,53.119
triumph,52.852
right,52.642
destitute,52.375
feel,52.375
daughter,52.177
ignorant,51.849
committing,51.795
record,51.795
enjoyment,51.408
guardians,51.408
ascribe,51.085
protection,51.085
records,51.085
condemned,50.988
babylon,50.934
enjoy,50.892
stood,50.501
field,50.254
year,49.421
iblis,49.248
magician,49.248
reform,49.248
blood,49.207
mortal,49.153
dwell,48.986
let,48.521
wicked,48.040
unless,47.867
disbelieved,47.766
disobeyed,47.766
inspired,47.766
warnings,47.766
swear,47.278
plans,47.138
benefits,47.040
expect,47.040
insane,47.040
mentioned,47.040
sins,46.639
burnt,46.517
iniquity,46.116
loss,45.560
waiting,45.560
silver,45.560
thanks,45.011
young,44.992
glory,44.771
arabic,44.770
asunder,44.770
bounty,44.770
chapter,44.770
devils,44.770
exists,44.770
inevitably,44.770
legends,44.770
rent,44.770
successors,44.770
travelled,44.770
worshippers,44.770
zakat,44.770
change,44.618
years,44.517
spoken,44.277
deliver,44.200
mighty,44.054
telling,43.420
christians,43.330
evenings,43.330
final,43.330
grateful,43.330
mornings,43.330
kind,43.316
decided,43.157
patient,43.157
pass,43.064
righteousness,43.037
doomed,42.735
payment,42.735
philistines,42.721
closer,42.688
forgives,42.688
despite,42.545
stern,42.545
reach,42.414
submit,42.414
wills,42.414
dwelt,42.268
delivered,42.172
commands,42.116
greatest,41.986
levites,41.364
adam,41.154
hearing,41.112
firm,40.863
multitude,40.746
joshua,40.685
waters,40.294
challenge,40.291
decides,40.291
explains,40.291
legacy,40.291
munificent,40.291
ra,40.291
victorious,40.291
favor,40.043
helper,40.033
carnal,39.791
leave,39.446
testify,39.338
preach,39.293
devoid,39.118
disputes,39.118
recompensed,39.118
cut,38.920
abandoned,38.902
baby,38.902
experienced,38.902
original,38.902
trustworthy,38.902
unjustly,38.902
vast,38.902
worst,38.902
arose,38.651
distinction,38.606
exist,38.606
expelled,38.606
accepted,38.471
honorable,38.471
reckoning,38.357
girls,38.318
hear,38.095
turn,38.074
relatives,38.067
disciples,37.907
works,37.898
tax,37.855
blast,37.697
doom,37.512
promised,37.293
laid,37.037
transgressors,36.751
seven,36.687
jordan,36.391
subject,36.270
departed,36.229
wise,36.187
gathered,36.183
strive,36.171
lay,36.003
soon,35.995
means,35.988
ignorance,35.886
appointment,35.813
charity,35.813
conjecture,35.813
determines,35.813
disbelieving,35.813
dominant,35.813
ha,35.813
intention,35.813
obstacles,35.813
spending,35.813
zachariah,35.813
punish,35.771
commit,35.697
happened,35.671
liar,35.042
elders,34.786
stories,34.521
accepts,34.485
activities,34.485
destined,34.485
existed,34.485
start,34.485
boiling,34.126
revenge,34.126
confirms,34.050
despair,34.050
friendship,34.050
properly,34.050
regret,34.050
conceal,33.995
fighting,33.995
travel,33.995
lawful,33.944
purpose,33.944
nt,33.908
fell,33.860
jacob,33.279
happy,33.122
reigned,33.005
magicians,32.931
dispute,32.646
woman,32.622
called,32.600
offerings,32.516
given,32.436
thirty,32.395
princes,32.329
authority,32.173
died,32.079
built,32.068
causes,32.056
powerful,32.041
trial,32.041
paul,31.878
peter,31.878
oil,31.844
laws,31.789
dwelling,31.577
matters,31.450
bewitched,31.336
corn,31.336
encompasses,31.336
exempt,31.336
expiate,31.336
fatigue,31.336
females,31.336
germ,31.336
hud,31.336
misled,31.336
motionless,31.336
prohibited,31.336
simply,31.336
term,31.336
received,31.310
camp,31.201
zion,31.201
devoted,31.197
period,31.197
ephraim,30.750
couches,30.489
doubts,30.489
orders,30.489
proof,30.489
war,30.459
attention,30.426
blessings,30.363
live,30.345
fall,30.321
garden,30.286
old,30.120
decked,30.082
demanded,30.082
knowingly,30.082
real,30.082
seduce,30.082
know,29.996
rejects,29.979
compassionate,29.775
parties,29.775
wombs,29.775
manifest,29.668
taken,29.551
sat,29.467
joy,29.397
clearly,29.285
creator,29.285
moab,29.172
punished,29.133
burned,29.016
country,28.791
peoples,28.791
body,28.647
fathers,28.581
parents,28.520
manasseh,28.496
provide,28.376
gentiles,28.271
later,28.267
strength,28.103
flesh,27.938
benjamin,27.823
unclean,27.820
caused,27.761
aaron,27.689
sanctuary,27.666
witness,27.511
river,27.441
cried,27.438
bronze,27.370
statutes,27.370
proved,27.334
places,27.326
grain,27.222
till,27.216
mary,27.145
arise,27.144
jeremiah,27.144
wish,27.144
rejoice,27.106
purify,27.101
fled,26.991
preaching,26.972
belong,26.964
address,26.858
al,26.858
animosity,26.858
argument,26.858
bellies,26.858
caravan,26.858
chastity,26.858
deserved,26.858
destination,26.858
encompassed,26.858
farms,26.858
hajj,26.858
humiliate,26.858
intimate,26.858
invents,26.858
precinct,26.858
prevented,26.858
reality,26.858
recline,26.858
refer,26.858
renounce,26.858
resurrect,26.858
statements,26.858
suppressed,26.858
gate,26.790
knew,26.544
intercede,26.521
mocking,26.521
party,26.521
obedience,26.490
thing,26.334
lifted,26.244
chief,26.227
reason,26.125
cast,26.121
incense,26.018
joab,26.018
appointed,25.954
dowry,25.887
relieved,25.887
force,25.819
sends,25.819
abode,25.697
bearer,25.697
blazing,25.697
deceased,25.697
excuses,25.697
loan,25.697
mansions,25.697
totally,25.697
arrogant,25.670
invite,25.670
salvation,25.583
begot,25.568
creates,25.541
fate,25.541
greeting,25.541
protected,25.541
sacrificial,25.541
return,25.432
wall,25.374
month,25.350
desolate,25.343
sight,25.342
resurrection,25.312
inheritance,25.293
written,25.193
camel,25.176
gilead,25.118
settled,24.742
assembly,24.668
bless,24.668
congregation,24.668
north,24.668
samuel,24.668
placed,24.643
ordained,24.584
rescue,24.584
settle,24.584
defeat,24.577
task,24.577
everlasting,24.573
cubits,24.519
serve,24.418
creatures,24.356
sending,24.319
pharaoh,24.293
rebellion,24.280
sheep,24.255
anger,24.240
outside,24.017
assyria,23.993
hezekiah,23.993
samaria,23.768
avoid,23.554
meaning,23.554
south,23.543
repent,23.530
high,23.526
place,23.522
recorded,23.354
seventh,23.318
look,23.174
mention,23.151
ground,22.999
judgments,22.946
seek,22.809
stones,22.709
second,22.696
neighbor,22.643
difficult,22.632
flames,22.632
supported,22.632
safe,22.569
sacred,22.466
firstborn,22.418
concerning,22.398
amnesty,22.381
based,22.381
blindly,22.381
blissful,22.381
cradle,22.381
criteria,22.381
dates,22.381
deliberately,22.381
desist,22.381
deviate,22.381
disbeliever,22.381
distant,22.381
excessive,22.381
fluid,22.381
hostile,22.381
immediate,22.381
immortal,22.381
indecent,22.381
indulged,22.381
intercessors,22.381
medina,22.381
messengerss,22.381
moderate,22.381
niggardly,22.381
oceans,22.381
orbit,22.381
persist,22.381
prevents,22.381
previous,22.381
protector,22.381
recitation,22.381
reclining,22.381
reminders,22.381
replaced,22.381
satans,22.381
sects,22.381
shirt,22.381
showered,22.381
soloman,22.381
supporters,22.381
looked,22.363
woe,22.015
speak,21.996
like,21.958
wine,21.901
ways,21.893
contains,21.866
demand,21.866
nearby,21.866
transgressing,21.866
families,21.856
stone,21.847
fine,21.784
deaf,21.772
advice,21.683
wife,21.683
mountain,21.618
secure,21.614
lips,21.600
door,21.485
does,21.438
wood,21.376
friends,21.372
approaches,21.361
arabs,21.361
blamed,21.361
humbly,21.361
invent,21.361
silk,21.361
abandon,21.339
amid,21.339
ascribed,21.339
avail,21.339
containing,21.339
decide,21.339
destiny,21.339
enjoyed,21.339
enlightening,21.339
equally,21.339
incurred,21.339
independent,21.339
mortals,21.339
obeys,21.339
prostrating,21.339
quarrelsome,21.339
reasonable,21.339
source,21.339
unable,21.339
welfare,21.339
ashamed,21.293
flock,21.293
ability,21.280
rise,21.265
eat,21.205
fight,21.158
edom,21.069
shame,21.069
stay,20.967
chariots,20.844
angel,20.820
tradition,20.741
depart,20.669
killed,20.617
sent,20.593
fruit,20.571
kinds,20.479
self,20.349
towns,20.349
lose,20.213
marry,20.213
jonathan,20.169
forth,20.048
forgave,20.004
ordered,20.004
lamb,19.945
reign,19.945
solomon,19.907
broken,19.901
generous,19.873
wishes,19.873
daughters,19.850
ear,19.806
numbered,19.720
power,19.549
beth,19.495
flee,19.495
jeroboam,19.495
bore,19.472
baal,19.270
captivity,19.270
bad,19.220
deed,19.180
yes,19.079
border,19.046
sacrifices,19.046
born,19.040
really,18.910
graves,18.864
mocked,18.864
blame,18.841
contain,18.841
examples,18.841
grieve,18.841
keepers,18.841
elijah,18.821
tent,18.821
recognize,18.746
offered,18.731
master,18.668
today,18.609
canaan,18.596
lift,18.596
oh,18.596
feet,18.503
commandments,18.408
anointed,18.372
linen,18.372
mother,18.237
commanded,18.228
commandment,18.221
bull,18.147
esau,18.147
image,18.147
secrets,18.093
sing,18.014
beloved,17.999
chaste,17.937
compared,17.937
bed,17.922
achieved,17.904
addressed,17.904
adopt,17.904
alternation,17.904
annoy,17.904
appreciating,17.904
arrogantly,17.904
atom,17.904
attitude,17.904
badr,17.904
baggage,17.904
bargain,17.904
brocade,17.904
confederate,17.904
constructed,17.904
contract,17.904
creating,17.904
description,17.904
dhu,17.904
difficulties,17.904
distinct,17.904
doubtful,17.904
emergency,17.904
engulf,17.904
expiation,17.904
explanation,17.904
extremely,17.904
funds,17.904
gambling,17.904
harmed,17.904
ignores,17.904
induce,17.904
information,17.904
invention,17.904
kindred,17.904
marital,17.904
mistake,17.904
murdering,17.904
neglectful,17.904
originator,17.904
poet,17.904
pork,17.904
pre,17.904
predecessors,17.904
prefer,17.904
prophethood,17.904
protects,17.904
qarnayn,17.904
quarrelling,17.904
rebelliousness,17.904
recipient,17.904
reforms,17.904
reminded,17.904
repenting,17.904
satanic,17.904
sized,17.904
slightest,17.904
sperm,17.904
stingy,17.904
strove,17.904
superiority,17.904
therefrom,17.904
trellises,17.904
types,17.904
unite,17.904
unnecessary,17.904
untouched,17.904
zaqqum,17.904
covenant,17.862
feast,17.850
abraham,17.827
